FIPS,lon,lat,income_per_capita,pop_density,agriculture_share,mining_share,construction_share,manufacturing_share,finance_share,services_share,government_share
01001,-86.64418431935907,32.5374742405477,49879.0,38.689119170984455,1.336185734843656,1.033641669443526,4.114980611093947,10.777493182792169,14.01140411732054,19.35411045241647,12.242114983211014
01003,-87.72927412436934,30.738126357775815,57721.0,57.436990449569066,0.4172925757800372,0.1629275151505631,9.11210617929488,6.130385388057105,28.072843727299592,35.78752181403522,9.295249022948102
01005,-85.40367396769165,31.867678782245903,41053.0,10.27941787941788,9.669537805703692,3.772561364990614,2.473714448030105,24.412939987997177,12.350525283892503,18.21151459881296,14.425177746501133
01007,-87.12658998146564,32.998631706172276,38232.0,13.578134651019148,0.7797887652011876,0.2362311484414654,15.349462178680442,14.629469966138464,14.03272122986212,20.242697519833683,18.784808894389553
01009,-86.57758717030057,33.98480934446771,44085.0,33.14261838440112,13.18803853586228,0.0154718564586795,7.076733375373025,10.527660631861242,0.0,5.213937485885838,15.03200251925582
01011,-85.71731593518324,32.10378149436696,33623.0,6.380592312539383,13.653019473793243,0.0,0.0,0.0,13.523539465506524,22.71467785373938,16.138388232856844
01013,-86.68042802153953,31.75255298693701,47524.0,9.256575682382136,12.664702055559331,0.0,2.9524997815300664,25.446528270009416,11.946178718115528,19.048150773383565,9.457927545660215
01015,-85.8263676426593,33.771545425447904,42684.0,72.93257718966603,1.004882348061591,0.0513552551055202,2.5301910059206096,23.121632960356948,12.331343242222442,17.73946187106232,22.572074149502814
01017,-85.3914900212001,32.91567432559916,39568.0,21.66010165184244,2.6167119423566048,0.0,2.664413701125368,33.75878056600842,14.563199420890813,18.88684749403482,15.533659737945223
01019,-85.60292922267729,34.176328774751454,44552.0,16.397411003236247,14.327018442664654,0.0,3.8687128667197617,13.544701041054704,0.0,4.576000521002223,14.992246021591743
01021,-86.71787796773724,32.84803769347696,43434.0,25.15414152495886,0.9675932602124632,0.0269325710214018,7.319580049821722,21.28288106406983,19.349673840202904,24.71971746955418,12.178258275580289
01023,-88.26861989830492,32.01892048014387,43293.0,5.048780487804878,5.049294058539139,1.575243762654448,3.834316607148766,48.76862629477757,9.146552424389204,13.376334640019492,5.8832466387679645
01025,-87.8299358618955,31.67894945083247,44541.0,7.032127261384903,2.7906998917815993,2.160172768055072,1.6358617664866206,35.013563055096036,12.66489004152345,17.876821716143613,13.893049708954477
01027,-85.86078458985321,33.26911815542713,39516.0,9.05484693877551,10.266115531825456,0.0,0.0,46.04643102087774,11.646472319117397,14.804681450453176,12.837668419383624
01029,-85.51871922894705,33.674439996850786,44365.0,10.56641431520991,21.798034775157372,0.191155075732251,12.19814212332798,14.059079159859316,13.350957894092556,14.874548596234336,16.642026808793133
01031,-85.98793556915287,31.40286141916542,51873.0,31.083427922814984,8.906852811299006,0.0,3.151705736140971,15.254447304959111,16.26483154914559,23.468095662412097,12.872908402919537
01033,-87.80220595131773,34.704064203416934,44702.0,35.42307692307692,0.3514975492207947,1.6036637035983718,6.412976512005507,33.37438562689629,0.0,4.765768490086267,16.146825216401837
01035,-86.99548114038984,31.43082657486731,41313.0,5.120949338201735,6.817722872245649,25.542357110332404,1.7821860584823108,8.62406208548633,9.171467601116587,14.630872483221475,11.274771831878205
